University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments
University of California - Los Angeles (UCLA),Community Health Sciences,"$27,311",1.06,2022-2023,1st,"3-year package with varying terms for each year; $15k stipend for first year and nonresident tuition covered, stipend plus $12k TA or research position for second year, and TA/research position only for third year. In-state tuition, fees, and insurance covered for all three years. Optional positions and funding opportunities for first and 4th+ years."
George Washington University (GW),Social and Behavioral Sciences,"$25,000",0.81,2022-2023,1st,"University fellowship covering tuition and health insurance with $20k stipend for 8 months and guaranteed $5k TA position per year for 10 hrs/wk. Also have the option of taking an addition 10 hrs/wk position within department or replacing the TA with a 20 hrs/wk department position, but not guaranteed."
Columbia University (CU),Sociomedical Sciences,"$45,320",1.52,2022-2023,1st,"Estimated 12-month stipend including teaching and research rotations. Tuition, fees, health insurance, and 75% of dental insurance covered. Five year funding package but expected to apply for external funding in later years."
Columbia University (CU),Sociomedical Sciences,"$45,320",1.52,2022-2023,1st,"Estimated 12-month stipend including teaching and research rotations. Tuition, fees, health insurance, and 75% of dental insurance covered. Five year funding package but expected to apply for external funding in later years."
Stony Brook University - SUNY,Genetics,"$41,000",1.47,2022-2023,1st,
University of Chicago (UC),Classics,"$30,500",1.26,2021-2022,1st,
American University (AU),History,"$22,670",0.73,2022-2023,1st,
Emory University,Economics,"$31,591",1.36,2022-2023,1st,"100% Tuition scholarship (valued at $68,700), 100% Health Insurance premium (valued at $4,018). You must pay a one-time transcript fee of $70, after which transcripts are free."
Ohio State University (OSU),English: MFA,"$36,000",1.79,2021-2022,4th,
Temple University (TU),Psychology,"$27,461",1.14,2021-2022,3rd,
Colorado State University (CSU),"Microbiology, Immunology, Pathology","$28,543",1.27,2022-2023,2nd,
University of Wisconsin - Madison (UW),English,"$23,215",1.02,2020-2021,4th,
University of Pennsylvania,Psychology,"$32,000",1.33,2021-2022,,
Ohio State University (OSU),Landscape Architecture,"$29,500",1.47,2022-2023,1st,
Ohio State University (OSU),Landscape Architecture,"$2,285",0.11,2022-2023,1st,
University of Utah,geography,"$30,000",1.35,2022-2023,1st,
University of Southern California (USC),Earth Science,"$37,500",1.45,2022-2023,1st,"$32,500 university basic stipend plus a $5,000 top-up from USC Earth Sciences endowments"
Boston University (BU),Statistics,"$37,702",1.32,2022-2023,1st,
Pennsylvania State University (Penn State),ist,"$23,490",1.05,2022-2023,1st,
Stony Brook University - SUNY,Political science,"$26,600",0.95,2020-2021,4th,"The program pays 20 weeks, but after 3rd year one can choose to teach in summer/winter to get 3500 extra. (the number listed included the extra 3500)"
Villanova University,ECE,"$27,300",,2021-2022,1st,
University of Wisconsin - Madison (UW),"German, Nordic, and Slavic","$19,647",0.86,2021-2022,1st,
Portland State University (PSU),Math,"$14,733",0.63,2020-2021,3rd,
University of Maryland - College Park (UMD),Philosophy,"$23,000",0.76,2022-2023,1st,
University of Wisconsin - Madison (UW),Statistics,"$28,000",1.23,2021-2022,5th,
University of Wisconsin - Madison (UW),Information School,"$44,177",1.93,2021-2022,1st,Segregated fees are paid out of our pockets
Northwestern University (NU),Civil and Environmental Engineering,"$35,196",1.45,2022-2023,1st,+ 1500 relocation incentive
University of Cincinnati (UC),Biomedical science,"$28,000",1.45,2020-2021,1st,
West Virginia University (WVU),Department of physics and astronomy,"$28,700",1.29,2021-2022,6th and up,
University of Wisconsin - Madison (UW),Sociology,"$19,400",0.85,2020-2021,2nd,
University of Wisconsin - Madison (UW),Sociology,"$19,400",0.85,2020-2021,2nd,
Virginia Commonwealth University (VCU),Government and Public Affairs,"$1,005",0.04,2022-2023,,Required Fees must be paid by the student each semester. Assistantship does not provide health insurance
Virginia Commonwealth University (VCU),Government and Public Affairs,"$1,005",0.04,2022-2023,,Required Fees must be paid by the student each semester. Assistantship does not provide health insurance
University of Wisconsin - Madison (UW),Electrical and Computer Engineering,"$28,000",1.23,2021-2022,1st,
University of Wisconsin - Madison (UW),Biomedical Engineering/Medical Scientist Training Program,"$28,300",1.24,2021-2022,5th,
University of Pittsburgh,Bioeningeering,"$27,940",1.35,2018-2019,3rd,
University of Pittsburgh,Bioeningeering,"$30,570",1.48,2020-2021,3rd,
University of Notre Dame (ND),Biological sciences,"$30,930",1.51,2020-2021,1st,
University of Wisconsin - Madison (UW),Statistics,"$21,750",0.95,2021-2022,2nd,
University of Wisconsin - Madison (UW),Statistics,"$21,750",0.95,2021-2022,2nd,
University of Wisconsin - Madison (UW),Chemistry,"$26,000",1.14,2021-2022,2nd,
University of Wisconsin - Madison (UW),Neuroscience,"$28,186",1.23,2020-2021,3rd,
University of Wisconsin - Madison (UW),Neuroscience/Neuroscience Training Program,"$29,048",1.27,2021-2022,6th and up,
University of Wisconsin - Madison (UW),Nelson Institute/ Environment and Resources,"$11,500",0.50,2020-2021,2nd,
University of California - Los Angeles (UCLA),Cinema and Media Studies,"$2,500",0.10,2022-2023,1st,
Arizona State University (ASU),,"$50,857",2.29,2020-2021,1st,
University of North Texas Health Science Center,Pharmacy,"$5,000",0.23,2022-2023,,
University of Nebraska - Lincoln (NU),Biochemistry,"$27,500",1.41,2022-2023,1st,
Case Western Reserve University,Clinical Psychology PhD,"$20,000",1.00,2022-2023,1st,"$20k years 1-4, $10k year 5"
Drexel University (DU),"Biomedical Engineering, science, and health systems","$24,421",1.01,2021-2022,5th,
University of Miami (UM),Abess Center/Environmental Science & Policy,"$31,028",1.30,2021-2022,3rd,
Georgetown University,Psychology (HDPP),"$36,934",1.20,2022-2023,1st,
University of California - Berkeley,Italian Studies,"$34,000",1.22,2021-2022,3rd,
University of North Carolina - Chapel Hill (UNC),Genetics & Molecular Biology,"$32,500",1.46,2021-2022,3rd,
University of Southern California (USC),Computer Science,"$32,000",1.24,2021-2022,,
Illinois State University (ISU),Communication Sciences & Disorders,"$4,292",0.19,2022-2023,1st,
University of California - Santa Barbara (UCSB),Anthropology,"$29,000",1.10,2022-2023,1st,"29k first year, 23k taship base other years for 6 years. Full health insurance and other fees included I believe."
University of California - Irvine (UCI),BME,"$21,600",0.74,2020-2021,1st,
Princeton University,qcb,"$49,500",1.95,2022-2023,1st,
Yale University (YU),History,"$36,300",1.47,2022-2023,1st,
University of Pennsylvania,Mechanical engineering and applied mechanics,"$34,000",1.41,2020-2021,1st,
Mississippi State University (MSU),Psychology,"$12,000",0.55,2019-2020,4th,
keiser university,athletic,"$10,000",,2022-2023,1st,
University of Central Florida (UCF),chemistry,"$17,000",0.73,2022-2023,1st,
University of Colorado - Boulder (UCB),Environmental Studies,"$25,246",0.99,2022-2023,1st,
Mount Sinai School of Medicine,Biomedical Sciences,"$44,000",1.48,2022-2023,1st,
University of California - San Francisco (UCSF),Pharmaceutical Sciences and Pharmacogenomics,"$44,000",1.47,2022-2023,1st,
New York University (NYU),Electrical and Computer Engineering,"$39,000",1.31,2022-2023,1st,
Rensselaer Polytechnic Institute (RPI),Chemical Engineering,"$31,773",1.40,2022-2023,1st,
University of Houston (UH),Chemical Engineering,"$33,135",1.52,2022-2023,1st,
Texas A&amp;M; University - College Station,Psychology,"$20,000",,2022-2023,5th,
University of Waterloo,Applied Mathematics,"$23,000",,2021-2022,1st,Fees generally taken from pay
University of California - Los Angeles (UCLA),Education,"$26,000",1.00,2020-2021,5th,
University of Minnesota - Twin Cities (UM),Spanish and Portuguese,"$19,000",0.83,2020-2021,1st,
University of California - Riverside (UCR),Computer Science,"$28,444",1.18,2020-2021,1st,
Brandeis University,Chemistry,"$31,000",1.11,2022-2023,1st,
University of Pennsylvania,Education,"$30,547",1.27,2022-2023,,
Northwestern University (NU),Learning Sciences,"$35,196",1.45,2022-2023,1st,
University of California - Los Angeles (UCLA),Culture and Performance,"$15,000",0.58,2022-2023,1st,"covered non-resident fee, fellowship for 1st year, then TA after"
University of California Los Angeles,Social Welfare,"$18,000",,2021-2022,,
Columbia University (CU),Epidemiology,"$45,000",1.51,2022-2023,1st,
University of Minnesota - Twin Cities (UM),Epidemiology,"$21,000",0.92,2022-2023,1st,
Northwestern University (NU),Human Development & Social Policy,"$35,196",1.45,2022-2023,1st,
University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,"$32,000",1.44,2020-2021,1st,
