University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments
Wright State University (WSU),Biomedical sciences,"$22,700",1.14,2020-2021,6th and up,
Clemson University (CU),Architecture,"$2,120",0.10,2021-2022,2nd,"Graduate Assistant position to serve as part of the M.Arch program. 50% Tuition remission is additionally applied, with hourly wages set at $10, for a variable cap between 10 and 25 hours per week."
Pennsylvania State University (Penn State),Industrial Engineering,"$20,790",0.93,2020-2021,4th,
Pennsylvania State University (Penn State),Bioinformatics and Genomics,"$27,700",1.23,2020-2021,1st,
Pennsylvania State University (Penn State),,"$27,700",1.23,2020-2021,,
Pennsylvania State University (Penn State),Mass Communications,"$26,010",1.16,2020-2021,2nd,"Somewhat unclear about summer funding, unless it's directly written in your original contract"
Pennsylvania State University (Penn State),Belisario College of Communications,"$22,860",1.02,2021-2022,1st,
University of Delaware (UD),Plant and Soil Science,"$28,000",1.10,2019-2020,3rd,
New Jersey Institute of Technology,Biology,"$29,000",1.07,2020-2021,1st,Summer stipend is for being a TA for 5 weeks of the summer.
Texas A&amp;M; University - College Station,"Psychological and Brain Sciences, Neuroscience","$18,000",,2020-2021,4th,"TAship required to receive funding, summer funding is not guaranteed but if TAships are available that is an extra $3000"
Princeton University,Physics,"$43,900",1.73,2020-2021,1st,
University of California - Merced,Chemistry and Biochemistry,"$27,600",1.33,2020-2021,1st,
Cornell University (CU),Astronomy,"$31,000",1.28,2017-2018,3rd,
University of Cincinnati (UC),Molecular and Developmental Biology,"$30,000",1.55,2020-2021,4th,
Johns Hopkins University (JHU),Biomedical Engineering,"$34,000",1.32,2020-2021,5th,
Northwestern University (NU),Department of Anthropology,"$34,051",1.40,2021-2022,1st,
University of California - Davis (UCD),Plant pathology,"$33,500",1.40,2020-2021,4th,
University of Arizona (U of A),Biosystems Engineering,"$22,000",1.06,2020-2021,2nd,
Virginia Commonwealth University (VCU),Biomedical Engineering,"$27,000",1.09,2020-2021,6th and up,
Auburn University (AU),Biological sciences,"$20,400",0.94,2020-2021,3rd,
Cornell University (CU),Literatures in English,"$34,691",1.43,2020-2021,1st,
,Neuroscience,"$31,000",,2020-2021,1st,
Thomas Jefferson University,Neuroscience,"$31,000",1.29,2020-2021,1st,
University of Florida (UF),Sociology,"$19,000",0.84,2020-2021,1st,
Arizona State University (ASU),School of Human Evolution and Social Change/Anthropology,"$18,200",0.82,2020-2021,2nd,
,Creative Writing MFA,"$10,400",,2013-2014,3rd,"health insurance not included, no conference funding"
University of Alabama (UA),Creative Writing MFA,"$1,400",0.08,2013-2014,3rd,"health insurance not included, no conference funding"
University of Dayton (UD),Religious Studies,"$18,500",0.93,2020-2021,5th,
St. John&#39;s University (SJU),Psychology - Clinical Psychology Doctoral Program,"$17,655",,2020-2021,4th,
University of Delaware (UD),Education,"$20,200",0.80,2020-2021,4th,
Ohio State University (OSU),Marketing,"$26,000",1.30,2021-2022,2nd,No insurance coverage or cost of living increases
University of Utah,SBS/ MCEB PROGRAM,"$29,137",1.31,2020-2021,2nd,
University of Chicago (UC),Biological Sciences Division,"$33,568",1.38,2020-2021,3rd,
CUNY Graduate School and University Center,Biology,"$30,000",1.01,2020-2021,1st,
University of Virginia (UVA),History,"$24,000",1.05,2021-2022,1st,
Virginia Tech,biological systems engineering,"$24,752",1.17,2020-2021,3rd,
University of Chicago (UC),Psychology,"$45,600",1.88,2020-2021,2nd,
,Psychology,"$40,000",,2020-2021,2nd,
Louisiana State University School of Medicine - New Orleans,Physiology,"$26,250",1.14,2020-2021,5th,
Virginia Tech,Forestry,"$28,800",1.37,2020-2021,3rd,
University of Notre Dame (ND),Economics,"$25,717",1.26,2019-2020,3rd,
University of Virginia (UVA),Environmental Sciences,"$26,000",1.14,2020-2021,3rd,
Bucknell University,Biology,"$12,050",,2020-2021,1st,
University of North Carolina - Chapel Hill (UNC),Journalism and media,"$20,500",0.92,2020-2021,4th,Includes health insurance and 2k in research and travel funds a year (for 3 years)
Michigan State University (MSU),Special Education,"$25,250",1.23,2020-2021,1st,
University of Illinois - Chicago (UIC),Anthropology,"$18,200",0.75,2018-2019,3rd,
Boston University (BU),Materials Science and Engineering,"$36,000",1.26,2020-2021,1st,
University of Idaho (UI),Fish and Wildlife Sciences,"$25,000",1.21,2020-2021,5th,This rate is for a PhD candidate post comprehensive exams. My grant also pays for health insurance (~$950/semester) and in-state tuition since out-of-state fees are waived. I have also TA'd past semesters for 20 hrs/wk which is a lower rate than the PhD candidacy rate.
University of Arkansas - Fayetteville,Biology,"$17,820",0.89,2020-2021,2nd,"Health insurance fee is separate and is $328 for fall semester, around $450 for Spring and Summer, combined. This is for a 9-month GA position. Fellowships are available through the graduate school that may pay an additional 12,000 or 22,000 a year for 4 years."
Duke University (DU),Neurobiology,"$33,000",1.48,2021-2022,3rd,
Cornell University (CU),Entomology,"$37,956",1.57,2020-2021,2nd,The required fee is $43 per semester and is the graduate student activity fee. Health insurance and tuition are included in the support package with the option of adding dental and vision insurance for additional cost.
University of Texas - Arlington (UTA),Biology,"$21,300",0.98,2020-2021,1st,You pay about $900 a semester in tuition ( decreases after year 2). Health insurance is available but you need to pay for it
Northeastern University (NU),Bioengineering,"$33,700",1.18,2020-2021,1st,
University of Tennessee - Knoxville,Mathematics,"$17,350",0.82,2019-2020,1st,
University of Tennessee - Knoxville,Mathematics,"$17,350",0.82,2020-2021,2nd,
University of Delaware (UD),Chemistry and Biochemistry,"$26,900",1.06,2020-2021,1st,
Washington University in St. Louis (Wash U),Business,"$37,000",1.79,2020-2021,1st,
National Institute of Technology Karnataka,Information Technology,"$3,535",,2021-2022,2nd,
New Jersey Institute of Technology,Computer Science,"$27,500",1.02,2021-2022,1st,
Colorado State University (CSU),Chemistry,"$23,925",1.07,2022-2023,1st,
Purdue University - West Lafayette,MCMP,"$26,000",1.23,2020-2021,1st,
,,"$6,000",,2020-2021,1st,
Boston University (BU),Doctor of Physical Therapy,"$5,000",0.17,2022-2023,1st,
Carnegie Mellon University (CMU),"Machine Learning, SCS","$36,700",1.77,2021-2022,5th,Covers 50% of health insurance (~$1100)
University of Delaware (UD),Education,"$19,200",0.76,2021-2022,1st,
University of Delaware (UD),Education,"$19,200",0.76,2021-2022,1st,
,Chemical and Biomolecular Engineering,"$32,428",,2022-2023,1st,
University of Notre Dame (ND),Chemical and Biomolecular Engineering,"$32,428",1.58,2022-2023,1st,
University of Illinois - Urbana- Champaign (UIUC),Chemistry/PhD,"$27,786",1.26,2022-2023,1st,Additional $1000 for relocation and $3000 fellowship
Texas A&amp;M; University - College Station,Materials Science and Engineering,"$23,700",,2020-2021,1st,
Boston University (BU),political science,"$23,000",0.80,2020-2021,6th and up,
,Biology,"$35,000",,2020-2021,2nd,
Boston University (BU),Biology,"$35,000",1.22,2020-2021,2nd,
,Imaging Science,"$26,000",,2020-2021,4th,Stipend has been the same for all 4 years
Rochester Institute of Technology (RIT),Imaging Science,"$26,000",1.22,2020-2021,4th,Stipend has been the same for all 4 years
Syracuse University,Biology,"$30,442",1.43,2021-2022,2nd,
Washington University in St. Louis (Wash U),Physics,"$2,385",0.12,2021-2022,2nd,
Indiana University,COMP,,0.00,2020-2021,3rd,
Ohio University (OU),music,$200,0.01,2021-2022,1st,
UVA,Psychology,"$24,000",,2020-2021,,
University of Southern California (USC),Neuroscience,"$34,850",1.35,2020-2021,5th,
Boston University (BU),Economics,"$31,340",1.09,2020-2021,3rd,
Stony Brook University - SUNY,Physics,"$29,910",1.07,2020-2021,4th,
University of Missouri - St. Louis,psychology,"$16,000",0.77,2020-2021,,
Northeastern University (NU),Political Science,"$34,250",1.20,2021-2022,2nd,
Northeastern University (NU),Political Science,"$34,250",1.20,2020-2021,1st,
Georgetown University,Psychology,"$36,000",1.17,2021-2022,2nd,Guaranteed 5 years of funding.
University of Minnesota - Twin Cities (UM),Biostatistics,"$27,020",1.18,2020-2021,1st,"Registration fees for each semester are approximately $1,000, but are not taken directly out of the paycheck."
University of Toledo,Mathematics,"$18,400",0.98,2020-2021,3rd,almost all of the grad students have summer support which is included and before the quals total amount for12 months is $18k with summer support
Duke University (DU),Chemistry,"$30,000",1.35,2022-2023,,
Illinois Institute of Technology (IIT),ECE,"$30,000",1.24,2020-2021,3rd,0
University of Pennsylvania,Physics,"$34,000",1.41,2021-2022,1st,
Emory University,Chemistry,"$31,775",1.36,2020-2021,2nd,http://chemistry.emory.edu/home/graduate/index.html
,Chemical engineering,"$24,000",,2020-2021,1st,
University of Massachusetts - Lowell (UML),Chemical engineering,"$24,000",0.86,2020-2021,1st,
Indiana University,Political Science,"$18,500",0.86,2020-2021,1st,
University of Arizona (U of A),Human Serevices,"$15,000",0.72,2020-2021,1st,
University of Texas - Austin (UT),Physics,"$30,000",1.31,2021-2022,1st,
Georgia State University (GSU),Film Media & Theatre,"$14,500",0.62,2021-2022,,no change in stipend for last 4 years
University of Rhode Island (URI),Chemistry,"$26,025",1.14,2020-2021,4th,"Generally live paycheck to paycheck. There are not many opportunities for consistent, affordable housing in this area, and as such the stipend does not do well to cover everything (living expenses, food, other bills, etc.) and have a lot left over."
University of Michigan - Ann Arbor (UM),Computer Science,"$34,000",1.47,2020-2021,4th,
Fordham University (FU),Philosophy/PhD,"$27,983",0.94,2020-2021,4th,
Fordham University (FU),Philosophy/PhD,"$31,983",1.08,2020-2021,4th,Fordham does apply some scholarship to cover a portion of the fees for fully funded PhD students
Duke University (DU),Computational Biology and Bioinformatics,"$32,400",1.46,2020-2021,3rd,
University of South Carolina (USC),History,"$14,050",0.62,2020-2021,4th,
University of Southern Mississippi (USM),Psychology,"$7,200",0.34,2020-2021,2nd,
Oregon State University (OSU),Horticulture,"$27,700",1.33,2020-2021,5th,
Georgia Institute of Technology (Georgia Tech),ECE,$920,0.04,2021-2022,1st,"2087 stipend as a GTA. $3000 Fellowship for first year only. $1,500 in fees each semester."
University of California - Berkeley,Ethnic Studies,"$38,500",1.39,2021-2022,1st,"They cover tuition, fees and insurance as well. Offer award for 5 years with possibility of extension, 4 semesters of GSI (graduate student instructor) is part of funding package."
West Virginia University (WVU),Plant & Soil Science/Microbial Ecology,"$34,000",1.52,2020-2021,,University fellowship
moffitt,immunology,"$26,800",,2020-2021,1st,
University of Akron,Polymer science,"$23,000",1.16,2018-2019,5th,Health insurance not included
University of Illinois - Chicago (UIC),Biological Sciences,"$24,553",1.01,2020-2021,5th,I entered the amount per year. Fees are twice a semester.
Northwestern University (NU),Plant Biology and Conservation,"$33,801",1.39,2021-2022,4th,
University of California - San Diego (UCSD),Biology,"$34,000",1.28,2020-2021,1st,
Georgia Institute of Technology (Georgia Tech),Biomedical engineering,"$26,900",1.15,2020-2021,4th,
University of California - San Diego (UCSD),Biological Sciences,"$34,000",1.28,2020-2021,1st,
Wayne State University,Chemistry,"$28,000",1.34,2020-2021,1st,
University of California - San Diego (UCSD),Biological Sciences,"$34,000",1.28,2020-2021,1st,
old dominion university,Computer Science,"$23,700",,2020-2021,4th,
Southern Methodist University (SMU),History,"$20,000",0.93,2020-2021,3rd,
University of California - San Diego (UCSD),Biological Sciences,"$34,000",1.28,2021-2022,,
University of California - San Diego (UCSD),Biological Sciences,"$33,000",1.25,2020-2021,1st,
University of Texas - Dallas (UTD),Chemistry & Biochemistry,"$24,000",1.11,2020-2021,4th,Insurance is not included and many students pay between $50-200 per month to cover it
University of California - San Diego (UCSD),Biological Sciences,"$34,000",1.28,2021-2022,1st,
University of Notre Dame (ND),Biological Sciences,"$39,925",1.95,2021-2022,1st,"Not 100% sure about the $ amount for required fees, but it is nominal. I am on a university fellowship guaranteed for 5 years."
University of Notre Dame (ND),Biological Sciences,"$31,000",1.51,2020-2021,5th,
University of Notre Dame (ND),Biological Sciences,"$31,057",1.52,2020-2021,6th and up,"Paid biweekly, payments have been reliable in my experience."
Imperial College London,Computing,"$19,500",,2022-2023,1st,
,Plant and Environmental sciences,"$20,000",,2019-2020,1st,
Clemson University (CU),Plant and Environmental sciences,"$20,000",0.96,2019-2020,1st,
University of Virginia (UVA),Neuroscience,"$32,500",1.42,2020-2021,3rd,UVA Neuro Grad Program covers health insurance (+ dental) and has no teaching requirement. Also guaranteed funding for 5 years.
University of Nevada - Reno (UNR),"Ecology, evolution, and conservation biology","$19,500",0.93,2020-2021,4th,
University of Chicago (UC),Genomics,"$34,000",1.40,2020-2021,2nd,
University of Missouri (MU),Anthropology,"$18,000",0.88,2020-2021,6th and up,
University of Georgia (UGA),Bioinformatics,"$26,500",1.25,2021-2022,2nd,Required fees include school health insurance
Pennsylvania State University (Penn State),Huck Institutes of Life Sciences,"$290,000",12.91,2020-2021,5th,
University of California - Davis (UCD),Pharmacology and Toxicology,"$32,400",1.35,2020-2021,1st,
Kent State University (KSU),Biological sciences,"$8,000",0.40,2020-2021,1st,
University of Minnesota - Twin Cities (UM),Entomology,"$22,500",0.98,2020-2021,4th,9-month appointment on a fellowship
University of California - Davis (UCD),Plant Biology Graduate Group,"$33,428",1.39,2020-2021,4th,Includes full health insurance. This is the GSR salary paid by my PI from grant money. PI covers university fees.
University of Washington (UW),Biology,"$31,088",1.34,2021-2022,1st,
University of Washington (UW),Genome Sciences,"$39,236",1.69,2020-2021,5th,Platinum health insurance provided (no premiums) and stipend qualifies you for a local subsidized housing program (Seattle MFTE)
Clemson University (CU),School of computing,"$17,300",0.83,2020-2021,1st,
Yale University (YU),School of the Environment,"$33,600",1.36,2020-2021,3rd,
Georgia Institute of Technology (Georgia Tech),Biology,"$25,986",1.12,2021-2022,2nd,"Fees (Fall: $1,097, Spring: $1,097, Summer: $820, subject to change annually. Annual stipend went up from 28000 to 29000 this past August. Internal fellowships also awarded to top applicants (up to $7500 /yr for three years) which are automatically applied to payment of fees."
University of Maryland - College Park (UMD),Information studies,"$22,849",0.76,2020-2021,1st,"Promised summer funding by advisor, no department guarantee"
University of Maryland - College Park (UMD),Behavioral and Community Health,"$19,243",0.64,2019-2020,3rd,"Permitted to take on an additional 10 hour/week ""overload"", the hourly rate varies by lab/PI."
University of Minnesota - Twin Cities (UM),"Ecology, Evolution, and Behavior","$26,000",1.13,2020-2021,4th,
University of Hawaii - Manoa (UH),School of Life Sciences,"$21,240",0.70,2020-2021,5th,
University of Hawaii - Manoa (UH),School of Life Sciences,"$18,030",0.59,2020-2021,5th,
University of Iowa (UI),Psychological and Brain Sciences,"$24,083",1.09,2021-2022,5th,"Though there isn't an option to select here, we're paid over 10 months (Sept.-June) for the academic year and over 2 months (July-Aug.) for the summer. Stipend entered reflects 10 month stipend for research assistant position (which will be the same rate for summer months for the same position). Fees include some enrollment-associated variable costs for 10 total credit hours + fixed semester fees (like recreation)."
University of Louisville (U of L),Biology,"$21,880",1.06,2020-2021,1st,Stipend has not changed in at least 7 years
Northern Arizona University (NAU),School of Forestry,"$32,500",1.39,2021-2022,3rd,
University of California - Berkeley,Integrative Biology,"$24,000",0.86,2019-2020,5th,
Tufts University (TU),Genetics,"$36,000",1.29,2021-2022,2nd,
Tufts University (TU),Genetics,"$34,000",1.22,2020-2021,1st,
George Mason University (GMU),Biology,"$21,000",0.70,2018-2019,1st,
Brigham Young University (BYU),Biology,"$24,000",1.16,2018-2019,1st,
Clemson University (CU),Biological Sciences,"$25,856",1.24,2021-2022,1st,"According to university, estimated cost of living is about $16000. RAs and GTAs received a raise halfway through the academic year. My acceptance letter listed a 9 month salary of $22000. I half a half RA half GTA appointment."
Louisiana State University - Baton Rouge,Renewable Natural Resources,"$20,422",0.94,2020-2021,6th and up,The last dean of the LSU Grad School was working to reduce grad student required fees and along that plan it could have been expected for the fees to go down another ~$500-700 over the next few years. They have gone down by that much in the last couple of years. Its unclear to me whether that plan is still in place.
University of Southern Mississippi (USM),SOSE,"$23,900",1.12,2019-2020,5th,
Cornell University (CU),Neurobiology and Behavior,"$33,568",1.38,2020-2021,3rd,
Auburn University (AU),Biology,"$20,300",0.94,2020-2021,5th,
Clemson University (CU),Department of Biological Sciences,"$28,776",1.38,2020-2021,2nd,"Required fees are a combination of student fees that are not very clear in terms of what they are actually covering. It is very vague and frustrating to pay, and rather than remove it from our gross stipend pay all at once, we have to pay the required fees back through the stipend that the university provides us."
Medical University of South Carolina,Biomedical Sciences,"$30,350",1.26,2020-2021,5th,
University of Idaho (UI),Biology,"$23,000",1.37,2014-2015,5th,
University of Idaho (UI),Biology,"$23,000",1.37,2014-2015,5th,
Baylor University (BU),Geosciences,"$26,000",1.31,2015-2016,1st,Base was $22K with a $4K “stipend enhancement” that covered all fees and I kept the remaining.
North Dakota State University (NDSU),Environmental & Conservation Sciences,"$22,800",1.19,2020-2021,4th,
Marquette University,,"$25,000",1.16,2020-2021,,
University of Kentucky (UK),chemical engineering,"$62,191",3.05,2022-2023,1st,
University of Kentucky (UK),chemical engineering,"$62,191",3.05,2022-2023,1st,
University of South Carolina (USC),History PhD,"$15,250",0.68,2020-2021,4th,
New York University (NYU),Master's of Public Administration,"$-45,000",-1.51,2021-2022,1st,
Yale University (YU),BBS,"$38,050",1.54,2020-2021,3rd,
Case Western Reserve University,Materials Science and Engineering,"$27,000",1.35,2016-2017,1st,
Case Western Reserve University,Materials Science and Engineering,"$30,000",1.50,2020-2021,5th,
,microbiology,"$12,000",,2020-2021,2nd,
University of North Carolina - Chapel Hill (UNC),Pharmaceutical Science,"$30,000",1.35,2020-2021,2nd,
Kent State University (KSU),Engineering,"$24,000",1.21,2021-2022,1st,
University of Illinois - Chicago (UIC),Computer Science,"$20,000",0.82,2021-2022,2nd,"Comes out to be approximately 1900 each semester. Summer depends on either RA(if the advisor is willing to hire), TA(very few appointments). Need to pay ~1200$ each semester for mandatory fees."
University of Florida (UF),Astronomy,"$16,400",0.72,2020-2021,3rd,"Barely covers expenses. Summer funding is ""guaranteed"" if you choose a funded advisor, or work as a TA. You get paid every two weeks. Tuition is covered, but not fees. Funding only guaranteed for one year according to the contract. But they tell you verbally that its really for 5 years, if you stay in ""good standing""; a loosely defined term."
University of Pennsylvania,Biology,"$32,000",1.33,2021-2022,4th,
University of Illinois - Urbana- Champaign (UIUC),Neuroscience,"$26,700",1.21,2020-2021,4th,
University of Pennsylvania,Bioengineering,"$36,000",1.49,2020-2021,4th,
Van Andel Institute Graduate School,,"$36,000",,2022-2023,,
Virginia Tech,Electrical Engineering,"$23,400",1.11,2022-2023,1st,
Indiana University,Intelligent Systems Engineering,"$16,269",0.75,2020-2021,5th,
Boston College (BC),Sociology,"$31,500",1.13,2021-2022,2nd,
Purdue University - West Lafayette,Agricultural economics,"$12,000",0.57,2016-2017,4th,Quarter time
University of Southern Mississippi (USM),Psychology,"$7,200",0.34,2020-2021,3rd,
Cornell University (CU) (Cornell Tech),Information Science,"$47,996",,2020-2021,3rd,stipend(3999.74$/month) + health insurance + tuition
,English,"$23,688",,2021-2022,1st,
University of Pittsburgh,English,"$23,688",1.14,2021-2022,1st,
University of Akron,Polymer Engineering,"$23,692",1.20,2021-2022,1st,
Kansas State University (K-State),Chemistry,"$24,500",1.11,2017-2018,1st,
University of California - Irvine (UCI),Chemistry,"$31,000",1.06,2020-2021,5th,Research Associate for full year
Indian University Bloomington,Biology,"$24,250",,2020-2021,2nd,
University of Pittsburgh,SOM: Structural Biology,"$31,976",1.54,2020-2021,3rd,Health insurance included.
Virginia Tech,Chemistry,"$24,152",1.15,2021-2022,3rd,"Wage increase after a student passes their prelim exam (usually 2nd year in chemistry) and becomes a PhD candidate. The graduate school also increased pay for all graduate students, so idk off the top of my head how much of my pay increase was from which source"
Virginia Tech,Chemistry,"$22,298",1.06,2020-2021,2nd,"Fall semester pay was from a GTA appointment, spring and summer pay was from a GRA appointment. The project funding my GRA went through the chemistry dept and paid the wage they were going to give me if I was on a GTA, so overall I made the same amount."
Virginia Tech,Chemistry,"$22,338",1.06,2019-2020,1st,The 9-month and summer pay were both from a GTA appointment through the chemistry dept. $1350 in misc. fees was required for both Fall 2019 and Spring 2020 semesters.
Georgia Institute of Technology (Georgia Tech),Chemistry and Biochemistry,"$25,253",1.08,2020-2021,6th and up,Fall 2021 Fees: Athletic fee - $127 Campus Center Facility Fee - $85 Health Fee - $172 CRC Operations Fee - $51 Recreation Fee - $54 Student Activity Fee - $40 Student Center Operations Fee - $32 Special Institution Fee - $344 Student Health Insurance - $275 Technology Fee - $107 Transportation Fee - $85
Texas Tech University (TTU),Human Development and Family Science,"$19,000",0.94,2020-2021,1st,Any research or teaching assistantship through the department covers 9 month appointments.
Indiana University,Music Theory,"$20,600",0.95,2020-2021,4th,
University of Florida (UF),Psychology,"$27,500",1.21,2020-2021,3rd,
University of California - San Diego (UCSD),Psychology,"$31,420",1.19,2020-2021,5th,"Funding is contingent upon TAing 2/3 quarters of the year. Pay can be increased with extra TAships, which are fairly easy to get given the size of the undergraduate department. No guaranteed summer funding, but TAships are typically available."
University of Illinois - Chicago (UIC),Psychology,"$18,315",0.75,2021-2022,1st,International Student!
Pennsylvania State University (Penn State),Chemistry,"$18,444",1.00,2004-2005,1st,"$18,444 was the stipend amount for full time Chemistry graduate students from 2004 to 2010. In the acceptance letter, we were promised a cost of living adjustment each year - this NEVER ONCE happened. For reference, this amount at the time was below the poverty level for State College, PA and surrounding areas. Having another job was forbidden and could result in termination so your grad experience at PSU includes dumpster diving for food, living with multiple roommates in nearly condemned houses, and not turning the heat above 55 degrees all winter. Definitely feel taken advantage of and demeaned."
University of California - Berkeley,Mathematics,"$34,000",1.22,2020-2021,,
Indiana University,Geography,"$16,600",0.77,2020-2021,3rd,
Indiana University,Chemistry,"$26,250",1.22,2020-2021,3rd,
Indiana University,Sociology (PhD student),"$18,800",0.87,2020-2021,4th,
Bryn Mawr College (BMC),Classical and Near Eastern Archaeology,"$24,000",1.00,2021-2022,5th,"Health Insurance $4,020 for the year Tuition Award $32,200 to take 2 units per semester"
University of California - Los Angeles (UCLA),Electrical Engineering,"$32,800",1.27,2020-2021,1st,
Mississippi State University (MSU),Civil and Environmental Engineering,"$12,150",0.56,2020-2021,1st,71% instate tuition waiver and support of 200$ health insurance in a semester.
Georgia State University (GSU),Economics,"$26,000",1.12,2021-2022,1st,
University of Houston (UH),Bauer College,"$30,000",1.37,2020-2021,,Around 30000/year excluding fellowship
Radboud University,Artificial Intelligence,"$2,500",,2020-2021,1st,
Springfield College,,"$4,000",,2020-2021,,
New York University (NYU),Center for Data Science,"$66,000",2.22,2020-2021,,Fellowship grants tax exemption
Bryn Mawr College (BMC),Physics,"$29,850",1.24,2021-2022,,
University of California - San Diego (UCSD),Chemistry & Biochemistry,"$34,000",1.28,2020-2021,2nd,
Boston University (BU),Physics PhD,"$36,781",1.28,2020-2021,1st,
University of Hawaii - Manoa (UH),Chemistry,"$20,319",0.67,2020-2021,4th,
University of Massachusetts - Boston (UMB),Chemistry,"$23,298",0.81,2020-2021,4th,Most of us have to pay for transportation. Only an 11% discount on MBTA is offered for grad students. $550 for semester parking near our building.
Polytechnic Institute of New York University,Chemical and Biomolecular Engineering,"$39,000",1.31,2020-2021,4th,"pre-tax, excluding tuition and required fees"
Pennsylvania State University (Penn State),agriculture,"$25,000",1.11,2020-2021,,
Australian National University,Political Science,"$28,694",,2020-2021,2nd,Australian dollars
Massachusetts Institute of Technology (MIT),Brain and Cognitive Sciences,"$42,500",1.52,2020-2021,6th and up,
Oregon State University (OSU),Ocean earth and atmospheric science,"$25,971",1.24,2020-2021,4th,Excellent health insurance
University of Wisconsin - Madison (UW),biomedical engineering,"$25,800",1.13,2019-2020,1st,
Indiana University,Political science,"$19,200",0.89,2020-2021,2nd,
University of Florida (UF),Psychology,"$23,200",1.02,2020-2021,3rd,NIH fellowship
University of Florida (UF),Psychology,"$23,200",1.02,2018-2019,1st,"Semester pay was TAship, summer pay was a fellowship"
University of Washington (UW),Chemistry PhD,"$34,535",1.48,2020-2021,1st,
University of Rochester (UR),Optics,"$28,500",1.33,2020-2021,1st,
Pennsylvania State University (Penn State),Political Science,"$30,500",1.36,2020-2021,3rd,
University of Minnesota - Twin Cities (UM),Astrophysics,"$27,078",1.18,2021-2022,4th,"ABD, so fees are lower than they were before"
University of Minnesota - Twin Cities (UM),Astrophysics,"$27,078",1.18,2021-2022,4th,"ABD, so fees are lower than they were before"
Mayo Clinic Graduate School,Virology and Gene Therapy,"$32,000",,2020-2021,4th,"Stipend guaranteed 5 years, no TA requirement, no RA requirement other than thesis work."
University of Texas - Dallas (UTD),Compuer Science,"$15,550",0.72,2020-2021,2nd,
Iowa State University (ISU),Chemistry,"$23,565",1.11,2020-2021,2nd,
University of Maryland - Baltimore County (UMBC),public policy,"$36,000",1.40,2020-2021,,
University of Miami (UM),,"$28,500",1.20,2020-2021,5th,
George Mason University (GMU),Chemistry,"$18,000",0.60,2020-2021,2nd,
Temple University (TU),Chemistry,"$28,650",1.19,2020-2021,2nd,
Massachusetts Institute of Technology (MIT),Management/PhD,"$48,324",1.73,2021-2022,1st,Gross pay excludes TA/RA. Fellowship only. Fees exclude Tax.
Massachusetts Institute of Technology (MIT),Management/PhD,"$48,324",1.73,2021-2022,2nd,Fees exclude Tax
University of Delaware (UD),Bioinformatics,"$24,333",0.96,2020-2021,1st,"I am funded externally to the university, so my pay may not be perfectly representative. Additionally, bioinformatics is considered a subset of Biomedical engineering."
George Mason University (GMU),College of Education and Human Development,"$40,500",1.34,2020-2021,2nd,21 K stipend 21 K GRA salary
University of Miami (UM),Marine Biology and Ecology,"$29,908",1.26,2021-2022,1st,"Paid as Graduate Research Assistant. Required to TA 2 semesters over 5 years. Stipend additionally includes health insurance ($3,930/year) and tuition for 5 years, but did not include in Gross Pay. Required fees are health and counseling center fee ($202/semester) and the activity fee ($20/semester) reflected above."
Binghamton University - SUNY,Chemistry,"$26,000",1.26,2022-2023,1st,
Massachusetts Institute of Technology (MIT),electrical,"$3,000",0.11,2021-2022,1st,
University of Minnesota - Twin Cities (UM),Chemistry,"$26,149",1.14,2021-2022,1st,
University of North Carolina - Chapel Hill (UNC),computer,"$1,500",0.07,2020-2021,,
University of North Carolina - Chapel Hill (UNC),computer,"$1,500",0.07,2020-2021,,
,Chemistry,,,2020-2021,1st,
Arizona State University (ASU),School of Life Sciences/Biology,"$25,400",1.14,2020-2021,,
University of Minnesota - Twin Cities (UM),Psychology,"$18,000",0.79,2021-2022,,Summer funding not guaranteed -- but most students get around $5000
Boston University (BU),Molecular & Translational Medicine,"$36,000",1.26,2020-2021,4th,
Iowa State University (ISU),Engineer,"$50,000",2.36,2020-2021,1st,
Washington University in St. Louis (Wash U),DBBS PMB,"$30,000",1.45,2015-2016,6th and up,
University of Central Florida (UCF),Mechanical Engineering,"$12,300",0.53,2021-2022,2nd,
Stanford University (SU),Bioengineering,"$48,000",1.67,2021-2022,1st,
,,"$30,000",,2020-2021,4th,Summer is extra teaching/research
Syracuse University,,"$30,000",1.40,2020-2021,4th,Summer is extra teaching/reserach
University of Florida (UF),Physics,"$23,500",1.03,2020-2021,1st,There is about 530$ student fee paid each semester
New York University (NYU),Classics,"$30,500",1.03,2021-2022,1st,
New York University (NYU),Classics,"$3,388",0.11,2021-2022,1st,
University at Buffalo - SUNY,Chemical & Biological Engineering,"$275,000",13.08,2021-2022,,
Massachusetts Institute of Technology (MIT),Computational and Systems Biology,"$41,488",1.49,2021-2022,2nd,
University of California - San Diego (UCSD),BISB,"$33,000",1.25,2021-2022,5th,
University of California - San Diego (UCSD),BISB,"$34,000",1.28,2020-2021,5th,
Iowa State University (ISU),Electrical,"$-8,000",-0.38,2020-2021,,
University of Georgia (UGA),Environmental Health Science,"$19,900",0.94,2021-2022,1st,
University of Cincinnati (UC),Philosophy,"$17,000",0.88,2020-2021,,
University of California - San Diego (UCSD),Computer science,"$45,000",1.70,2020-2021,1st,
Tulane University (TU),Classics,"$14,500",0.63,2020-2021,1st,"MA, not PhD."
